term	reading	meaning	detail	example	exampleMeaning	partOfSpeech
予測対象	よそくたいしょう	예측 대상	예측 대상이 되는 항목을 가리키는 한자 복합 명사입니다.	予測対象を一覧にまとめた。	예측 대상을 목록으로 정리했다.	복합명사
予算を予測する	よさんをよそくする	예산을 예측하다	예산을 예측한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を予測した。	담당자는 회의에서 예산을 예측했다.	동사구
予算を体系化する	よさんをたいけいかする	예산을 체계화하다	예산을 체계화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を体系化した。	담당자는 회의에서 예산을 체계화했다.	동사구
予算を共有する	よさんをきょうゆうする	예산을 공유하다	예산을 공유한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を共有した。	담당자는 회의에서 예산을 공유했다.	동사구
予算を具体化する	よさんをぐたいかする	예산을 구체화하다	예산을 구체화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を具体化した。	담당자는 회의에서 예산을 구체화했다.	동사구
予算を分析する	よさんをぶんせきする	예산을 분석하다	예산을 분석한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を分析した。	담당자는 회의에서 예산을 분석했다.	동사구
予算を可視化する	よさんをかしかする	예산을 시각화하다	예산을 시각화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を可視化した。	담당자는 회의에서 예산을 시각화했다.	동사구
予算を強化する	よさんをきょうかする	예산을 강화하다	예산을 강화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を強化した。	담당자는 회의에서 예산을 강화했다.	동사구
予算を把握する	よさんをはあくする	예산을 파악하다	예산을 파악한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を把握した。	담당자는 회의에서 예산을 파악했다.	동사구
予算を抑制する	よさんをよくせいする	예산을 억제하다	예산을 억제한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を抑制した。	담당자는 회의에서 예산을 억제했다.	동사구
予算を拡大する	よさんをかくだいする	예산을 확대하다	예산을 확대한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を拡大した。	담당자는 회의에서 예산을 확대했다.	동사구
予算を推進する	よさんをすいしんする	예산을 추진하다	예산을 추진한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を推進した。	담당자는 회의에서 예산을 추진했다.	동사구
予算を改善する	よさんをかいぜんする	예산을 개선하다	예산을 개선한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を改善した。	담당자는 회의에서 예산을 개선했다.	동사구
予算を改定する	よさんをかいていする	예산을 개정하다	예산을 개정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を改定した。	담당자는 회의에서 예산을 개정했다.	동사구
予算を数値化する	よさんをすうちかする	예산을 수치화하다	예산을 수치화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を数値化した。	담당자는 회의에서 예산을 수치화했다.	동사구
予算を整理する	よさんをせいりする	예산을 정리하다	예산을 정리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で予算を整理した。	담당자는 회의에서 예산을 정리했다.	동사구
